tripid,lat,lng,pdatetime,speed,rid,highway
1121515,41.0840225,-81.514603,12/15/2015 16:40,4.399515203,272717986,primary
1121515,41.084064,-81.5145845,12/15/2015 16:40,5.221366223,272717986,primary
1121515,41.0841105,-81.514562,12/15/2015 16:40,5.989648181,272717986,primary
1121515,41.0841645,-81.514536,12/15/2015 16:40,6.892253244,272717986,primary
1121515,41.0842275,-81.5145095,12/15/2015 16:40,7.81612601,272717986,primary
1121515,41.084299,-81.5144825,12/15/2015 16:40,8.562039573,272717986,primary
1121515,41.084375,-81.514451,12/15/2015 16:40,9.477229937,277248087,primary
1121515,41.0844625,-81.5144185,12/15/2015 16:40,10.1816898,21391144,primary
1121515,41.084552,-81.51439,12/15/2015 16:40,10.3604475,21391144,primary
1121515,41.0846425,-81.5143575,12/15/2015 16:40,10.90971835,21391144,primary
1121515,41.084741,-81.5143225,12/15/2015 16:40,11.27456049,21391144,primary
1121515,41.0848375,-81.5142855,12/15/2015 16:40,11.19462216,21391144,primary
1121515,41.084934,-81.514248,12/15/2015 16:40,11.11526476,21391144,primary
1121515,41.085029,-81.5142105,12/15/2015 16:40,11.06092603,21391144,primary
1121515,41.085125,-81.5141745,12/15/2015 16:40,10.97763989,21391144,primary
1121515,41.0852185,-81.514137,12/15/2015 16:40,10.88624931,21391144,primary
1121515,41.0853125,-81.5140995,12/15/2015 16:40,10.76295675,21391144,primary
1121515,41.0854035,-81.514061,12/15/2015 16:40,10.68884879,21391144,primary
1121515,41.085496,-81.514023,12/15/2015 16:40,10.8508667,391262254,service
1121515,41.08559,-81.5139845,12/15/2015 16:40,11.05261581,391262254,service
1121515,41.085686,-81.513946,12/15/2015 16:40,11.11917963,21391144,primary
1121515,41.085781,-81.5139065,12/15/2015 16:40,11.3152612,21391144,primary
1121515,41.0858805,-81.5138665,12/15/2015 16:40,11.55105089,21391144,primary
1121515,41.0859795,-81.513825,12/15/2015 16:40,11.81871733,21391144,primary
1121515,41.0860825,-81.5137785,12/15/2015 16:40,12.25268942,21391144,primary
1121515,41.0861885,-81.513732,12/15/2015 16:40,12.50464001,21391144,primary
1121515,41.086296,-81.5136845,12/15/2015 16:40,12.75358223,21391144,primary
